"","Pressure_DBar","Dissolved_Oxygen","Temperature","Conductivity_Salinity","Fluorometry","PAR","PAR2","Temp2","PAR3","Temperature3","Temperature4"
"139",2.378,3.292,28.523,58.768,0.222,781.437,0.648447003958211,1.00348297213622,NA,NA,NA
"140",2.429,3.119,28.523,58.766,0.224,780.689,0.647826303429619,1.00348297213622,780.368,28.5212857142857,1.0034226609304
"141",2.484,2.847,28.517,58.766,0.225,776.198,0.644099610817449,1.00327188291585,NA,NA,NA
"142",2.545,2.406,28.52,58.768,0.225,776.198,0.644099610817449,1.00337742752603,NA,NA,NA
"143",2.603,2.73,28.522,58.77,0.219,780.689,0.647826303429619,1.00344779059949,NA,NA,NA
"144",2.654,2.935,28.521,58.768,0.216,792.665,0.657764150395406,1.00341260906276,NA,NA,NA
"145",2.712,3.176,28.519,58.768,0.216,803.892,0.667080467019061,1.0033422459893,799.294428571429,28.52,1.00337742752603
"146",2.766,3.424,28.521,58.768,0.217,811.377,0.673291621372678,1.00341260906276,NA,NA,NA
"147",2.81,3.568,28.517,58.77,0.216,815.12,0.676397613456256,1.00327188291585,NA,NA,NA
"148",2.854,2.522,28.52,58.77,0.22,815.12,0.676397613456256,1.00337742752603,NA,NA,NA
"149",2.892,3.512,28.518,58.776,0.23,813.623,0.675155382585533,1.00330706445258,NA,NA,NA
"150",2.907,4.35,28.521,58.778,0.239,813.623,0.675155382585533,1.00341260906276,812.446571428571,28.5201428571429,1.00338245345985
"151",2.922,4.892,28.521,58.778,0.238,812.874,0.674533852243401,1.00341260906276,NA,NA,NA
"152",2.93,5.204,28.52,58.78,0.238,809.88,0.672049390501954,1.00337742752603,NA,NA,NA
"153",2.933,5.124,28.524,58.782,0.234,806.886,0.669564928760508,1.00351815367295,NA,NA,NA
"154",2.939,5.064,28.522,58.782,0.231,804.641,0.667701997361193,1.00344779059949,NA,NA,NA
"155",2.951,5.128,28.519,58.778,0.227,803.892,0.667080467019061,1.0033422459893,806.351571428571,28.521,1.00341260906276
"156",2.97,5.16,28.519,58.77,0.227,804.641,0.667701997361193,1.0033422459893,NA,NA,NA
"157",3.003,5.18,28.522,58.774,0.223,806.138,0.668944228231916,1.00344779059949,NA,NA,NA
"158",3.04,5.196,28.521,58.774,0.218,808.383,0.670807159631231,1.00341260906276,NA,NA,NA
"159",3.075,5.244,28.52,58.774,0.217,810.629,0.672670920844086,1.00337742752603,NA,NA,NA
"160",3.125,5.285,28.52,58.77,0.214,812.126,0.67391315171481,1.00337742752603,809.345714285714,28.5202857142857,1.00338747939367
"161",3.174,5.357,28.517,58.774,0.205,812.126,0.67391315171481,1.00327188291585,NA,NA,NA
"162",3.246,5.377,28.522,58.768,0.198,809.88,0.672049390501954,1.00344779059949,NA,NA,NA
"163",3.344,5.317,28.52,58.768,0.199,806.138,0.668944228231916,1.00337742752603,NA,NA,NA
"164",3.429,5.261,28.518,58.766,0.201,802.395,0.665838236148337,1.00330706445258,NA,NA,NA
"165",3.522,4.511,28.522,58.768,0.2,797.156,0.661490843007576,1.00344779059949,795.979571428571,28.5207142857143,1.00340255719513
"166",3.613,3.781,28.521,58.766,0.198,791.916,0.657142620053274,1.00341260906276,NA,NA,NA
"167",3.684,4.138,28.521,58.77,0.197,785.18,0.651552996041789,1.00341260906276,NA,NA,NA
"168",3.735,4.535,28.521,58.77,0.198,779.192,0.646584072558896,1.00341260906276,NA,NA,NA
"169",3.771,5.236,28.52,58.776,0.198,770.958,0.639751387863147,1.00337742752603,NA,NA,NA
"170",3.806,5.208,28.517,58.776,0.197,767.964,0.637266926121701,1.00327188291585,772.348285714286,28.5202857142857,1.00338747939367
"171",3.82,5.108,28.521,58.774,0.2,766.467,0.636024695250977,1.00341260906276,NA,NA,NA
"172",3.833,5.024,28.521,58.778,0.206,767.216,0.636646225593109,1.00341260906276,NA,NA,NA
"173",3.847,4.952,28.521,58.78,0.21,769.461,0.638509156992424,1.00341260906276,NA,NA,NA
"174",3.865,4.912,28.522,58.78,0.212,770.958,0.639751387863147,1.00344779059949,NA,NA,NA
"175",3.886,4.84,28.521,58.778,0.212,769.461,0.638509156992424,1.00341260906276,767.857285714286,28.5212857142857,1.0034226609304
"176",3.934,4.783,28.52,58.774,0.21,767.964,0.637266926121701,1.00337742752603,NA,NA,NA
